Index,SMILES,LogP,TPSA
0,OCc1cccc(O)c1,0.8844999999999998,40.46
1,CC(C)=O,0.5952999999999999,17.07
2,C[N+](C)(C)CCO,-0.3150999999999999,20.23
3,CCCCCCCC,3.3668000000000022,0.0
4,CCCCCCCC(=O)O,2.4314999999999998,37.3
5,NCCCC(N)C(=O)O,-0.8627999999999991,89.34
6,NC1CONC1=O,-1.6249000000000007,64.35
7,CC(O)CC(=O)O,-0.15809999999999996,57.53
8,CSCCC(=O)C(=O)O,0.39319999999999994,54.370000000000005
9,Nc1cnc[nH]1,-0.008099999999999885,54.699999999999996
10,NC(CS)C(=O)O,-0.6719000000000002,63.32000000000001
11,O=C(O)C1CCCN1,-0.177,49.33
12,O=C1CCNC(=O)N1,-0.7841,58.2
13,NC(C=O)CCC(=O)O,-0.6226000000000003,80.39
14,O=C(O)C(O)CO,-1.5757999999999999,77.76
15,NC=NCC(=O)O,-0.942,75.67999999999999
16,CN(C)c1ccccc1,1.7526,3.24
17,NCC(O)c1ccccc1,0.6787000000000001,46.25
18,CC(O)CO,-0.6405000000000001,40.46
19,OP(O)(O)=[Se],-1.1906,60.69
20,NCCCCNCCCN,-0.3362999999999989,64.07
21,NCCS(=O)(=O)O,-1.1670999999999996,80.39
22,C[N+](C)(C)[O-],0.1903999999999999,23.06
23,NC(N)=O,-0.9762000000000002,69.11
24,NCCCS(=O)(=O)O,-0.7769999999999997,80.39
25,OCC(O)CF,-0.6908999999999998,40.46
26,C[Se]CC(=O)O,0.24159999999999998,37.3
27,Cc1ccc(O)cc1,1.7006199999999998,20.23
28,NC1CCCCCC1,1.6679,26.02
29,CCCC(CCC)C(=O)O,2.2874,37.3
30,CCOC(=O)C(N)CS,-0.19339999999999985,52.32
31,O=C(O)C1=CCNCC1,-0.009299999999999864,49.33
32,CNC(C)C(=O)O,-0.3211000000000002,49.33
33,NCCc1ccc(F)cc1,1.3269,26.02
34,C=NCC(C)(C)OC,1.112,21.59
35,NCCNCCNCCN,-1.916999999999998,76.1
36,O=C(O)c1ccncc1,0.7797999999999999,50.19
37,NCCCNCCCN,-0.7263999999999986,64.07
